index,mobile_number,arpu_6,arpu_7,arpu_8,onnet_mou_6,onnet_mou_7,onnet_mou_8,offnet_mou_6,offnet_mou_7,offnet_mou_8,roam_ic_mou_6,roam_ic_mou_7,roam_ic_mou_8,roam_og_mou_6,roam_og_mou_7,roam_og_mou_8,total_og_mou_6,total_og_mou_7,total_og_mou_8,total_ic_mou_6,total_ic_mou_7,total_ic_mou_8,total_rech_num_6,total_rech_num_7,total_rech_num_8,total_rech_amt_6,total_rech_amt_7,total_rech_amt_8,total_rech_data_6,total_rech_data_7,total_rech_data_8,av_rech_amt_data_6,av_rech_amt_data_7,av_rech_amt_data_8,aon,sms_ic_6,sms_ic_7,sms_ic_8,sms_og_6,sms_og_7,sms_og_8,churn,days_since_last_rech_6,days_since_last_rech_7,days_since_last_rech_8,days_since_last_rech_data_6,days_since_last_rech_data_7,days_since_last_rech_data_8,count_2g3g,vol_2g3g,monthly_2g3g,segment
9543,7002018260,792.93,737.755,989.003,675.19,988.23,347.06,424.44,450.69,368.41,0.0,0.0,187.98,0.0,0.0,311.44,1099.64,1438.93,404.03,154.63,121.79,47.89,8,15,4,1065,1340,435,2.0,1.0,1.0,121.0,23.0,198.0,14.5,13,28,20,14,2,14,0,1.0,0.0,0.0,1.0,24.0,26.0,0.5,518.765,0.5,2
16147,7001310138,669.197,770.7239999999997,860.425,42.28,25.91,22.19,377.84,617.39,1136.06,26.43,0.0,0.0,127.54,0.0,0.0,292.58,643.31,1158.26,151.83,196.39,278.58,10,10,12,894,817,1006,2.0,3.0,2.0,308.0,556.0,406.0,20.666666666666668,36,14,0,31,6,2,0,0.0,0.0,3.0,6.0,6.0,3.0,1.0,1179.22,1.0,2
38363,7001389270,1679.019,2171.107,2204.0389999999998,10.03,5.09,1.13,318.26,225.96,312.59,0.0,0.0,0.0,0.0,0.0,0.0,335.44,233.84,314.96,405.73,388.16,375.43,21,24,23,1953,2599,2547,11.0,13.0,7.0,1613.0,2271.0,2097.0,45.5,22,27,5,36,6,22,0,0.0,0.0,2.0,0.0,0.0,2.0,3.5,5384.47,3.5,2
1113,7000816621,604.9730000000002,378.407,173.503,40.86,18.98,11.93,190.54,60.91,26.84,0.0,0.0,0.0,0.0,0.0,0.0,234.88,80.48,40.03,570.58,355.34,122.93,23,11,4,718,422,192,6.0,6.0,2.0,500.0,636.0,304.0,66.0,3,8,22,7,19,22,0,0.0,2.0,10.0,4.0,5.0,22.0,1.0,486.27,0.0,2
61151,7001744200,397.246,413.469,660.1030000000002,42.44,74.93,42.86,260.33,269.44,383.61,0.0,0.0,0.0,0.0,0.0,1.86,302.78,344.38,424.61,217.99,195.18,158.43,5,9,13,221,421,906,4.0,7.0,6.0,223.0,292.0,269.0,15.7,41,25,9,26,15,9,0,4.0,0.0,0.0,4.0,0.0,0.0,3.0,217.57,0.5,2
4957,7002156885,431.05400000000003,204.15099999999998,195.915,171.43,61.06,76.54,632.16,249.18,167.33,0.0,0.0,0.0,0.0,0.0,0.0,803.59,310.24,243.88,608.69,514.44,515.61,12,12,7,497,267,197,2.0,6.0,4.0,46.0,138.0,92.0,82.63333333333334,20,28,0,4,3,5,0,6.0,0.0,1.0,6.0,0.0,1.0,2.0,0.0,0.0,2
35231,7001748775,293.07599999999996,300.322,308.425,39.59,34.03,69.43,98.69,72.31,138.76,0.0,0.0,0.0,0.0,0.0,0.0,138.29,106.34,208.19,243.48,87.53,197.46,5,3,3,374,264,414,1.0,1.0,1.0,154.0,154.0,154.0,65.56666666666666,17,13,22,9,2,21,0,1.0,3.0,3.0,1.0,3.0,3.0,0.5,107.565,0.5,2
60872,7001796097,414.97,496.51099999999997,414.903,125.88,199.53,124.78,285.46,413.68,233.01,0.0,0.0,0.0,0.0,0.0,0.0,422.66,621.89,369.91,454.98,392.54,453.11,16,15,19,481,724,378,1.0,3.0,5.0,91.0,56.0,109.0,13.666666666666664,33,25,8,25,19,17,0,2.0,0.0,1.0,15.0,0.0,6.0,2.5,100.19,0.0,2
64623,7002077275,501.72,393.974,512.332,101.78,50.79,61.83,257.81,255.89,359.23,22.38,0.0,28.81,57.28,0.0,38.41,302.31,306.69,382.64,255.61,236.66,200.66,6,4,5,604,454,714,1.0,1.0,1.0,154.0,154.0,154.0,41.16666666666666,29,25,10,34,19,19,0,4.0,7.0,0.0,16.0,21.0,25.0,0.5,269.37,0.5,2
8740,7001361517,619.29,909.19,395.949,122.06,515.24,100.04,578.19,496.93,277.73,0.0,0.0,0.0,0.0,0.0,0.0,701.29,1021.86,381.89,92.14,70.08,36.54,43,38,22,716,1045,466,7.0,4.0,4.0,75.0,100.0,100.0,16.233333333333334,40,7,1,18,25,17,0,0.0,1.0,0.0,1.0,1.0,7.0,2.0,146.47500000000005,0.0,2
24107,7001007406,198.858,321.332,472.759,91.36,34.16,159.46,211.56,126.19,699.38,0.0,0.0,0.0,0.0,0.0,0.0,305.03,160.36,858.84,385.53,170.99,263.04,6,10,7,290,459,498,1.0,6.0,1.0,25.0,453.0,17.0,95.33333333333331,6,11,10,22,19,7,0,2.0,2.0,2.0,10.0,12.0,8.0,0.5,34.85,0.0,2
5121,7001901536,349.61800000000005,391.301,446.046,71.38,113.78,134.94,388.14,510.54,544.09,0.0,0.0,4.79,0.0,0.0,95.24,459.53,624.33,583.79,123.74,75.33,119.14,13,7,10,557,327,750,1.0,3.0,4.0,23.0,69.0,92.0,79.06666666666666,26,5,20,17,11,0,0,3.0,6.0,0.0,4.0,14.0,7.0,2.0,0.0,0.0,2
16184,7001474802,275.345,334.77,307.487,65.41,49.63,54.51,213.74,232.19,209.63,0.0,0.0,0.0,0.0,0.0,0.0,279.16,281.83,264.14,603.43,585.88,598.73,6,5,4,286,616,383,3.0,1.0,1.0,69.0,23.0,154.0,103.7,21,28,15,10,3,18,0,1.0,1.0,4.0,1.0,24.0,29.0,0.5,291.715,0.5,2
70599,7001289775,853.687,909.701,941.023,240.09,375.59,152.68,565.91,536.96,522.53,0.0,0.0,0.0,0.0,0.0,0.0,806.84,923.91,678.66,696.06,1195.71,981.96,26,29,34,920,1062,1056,0.0,0.0,10.0,0.0,0.0,242.0,56.2,20,17,17,21,23,3,0,4.0,3.0,3.0,60.0,60.0,3.0,5.0,280.06,0.0,2
98390,7001775020,828.067,1353.4779999999996,716.8810000000003,81.41,104.11,42.43,135.69,88.94,150.78,13.19,21.21,0.0,27.99,24.54,0.0,190.59,168.51,193.21,92.84,156.19,144.11,11,15,7,1007,1692,808,3.0,5.0,0.0,449.0,960.0,0.0,45.96666666666667,16,17,19,10,25,11,0,10.0,0.0,3.0,10.0,2.0,60.0,0.0,0.0,0.0,2
62395,7001345353,885.637,599.967,811.763,136.91,59.83,97.88,582.03,232.64,491.68,0.0,0.0,0.0,0.0,0.0,0.0,718.94,294.68,589.56,407.01,425.94,565.83,12,6,9,980,640,988,2.0,2.0,2.0,290.0,290.0,324.0,86.66666666666669,20,23,16,34,6,3,0,2.0,8.0,4.0,13.0,8.0,12.0,1.0,469.07,1.0,2
24282,7000991542,296.0,633.0,1802.734,9.89,7.98,12.14,147.09,473.51,1581.03,0.0,0.0,0.0,0.0,0.0,0.0,156.99,481.49,1593.18,143.21,778.18,351.01,3,5,6,440,940,2050,1.0,2.0,0.0,755.0,1204.0,0.0,19.033333333333328,32,1,11,22,14,20,0,26.0,1.0,0.0,26.0,1.0,60.0,0.0,0.0,0.0,2
66080,7001941957,620.615,307.2290000000001,428.755,38.74,44.68,45.31,178.99,150.44,148.13,385.06,0.0,0.0,113.56,0.0,0.0,104.18,195.13,193.44,34.09,88.16,146.48,5,6,3,499,869,319,2.0,1.0,2.0,406.0,252.0,275.0,46.16666666666666,8,10,19,17,2,4,0,1.0,5.0,2.0,1.0,5.0,8.0,1.0,653.29,0.5,2
97942,7000920123,605.009,360.04,506.35,138.94,108.89,156.83,298.56,327.43,384.28,0.0,2.11,0.0,0.0,22.16,0.0,437.51,414.16,541.11,257.43,186.16,316.14,10,3,3,680,200,530,1.0,1.0,1.0,252.0,252.0,252.0,8.833333333333334,41,11,15,25,25,11,0,0.0,0.0,7.0,28.0,0.0,7.0,0.5,478.82,0.5,2
